Company Name,Company Name-Apollo,# Employees,Industry,Website,Company Linkedin Url,Company City,Company State,Annual Revenue,SIC Codes,Prerequisite: Determine Research Guidelines,Qualify Account,Prerequisite: Research Target Company
KPG99 INC,KPG99 INC-Apollo,220,information technology & services,http://www.kpg99.com,http://www.linkedin.com/company/kpg-99-inc-,Hamilton Township,New Jersey,45062000,7361,,,
The Icon Group,The Icon Group-Apollo,260,information technology & services,http://www.iconresources.com,http://www.linkedin.com/company/icon-resources-technologies,Singapore,,10000000,7371,,,
Everymind,Everymind-Apollo,450,information technology & services,http://www.everymind.uol,http://www.linkedin.com/company/everymind-uol,Sao Paulo,State of Sao Paulo,,7375,,,
LogicGate,LogicGate-Apollo,250,information technology & services,http://www.logicgate.com,http://www.linkedin.com/company/logic-gate,Chicago,Illinois,49000000,7375,,,
Hostaway,Hostaway-Apollo,280,information technology & services,http://www.hostaway.com,http://www.linkedin.com/company/hostaway,Helsinki,Uusimaa,43300000,7375,,,
Alpha Omega,Alpha Omega-Apollo,580,information technology & services,http://www.alphaomega.com,http://www.linkedin.com/company/alpha-omega-integration-llc,Vienna,Virginia,240000000,7375,,,
Forte Group,Forte Group-Apollo,900,information technology & services,http://www.fortegrp.com,http://www.linkedin.com/company/fortegroup,Boca Raton,Florida,20000000,7371,,,
Onwelo,Onwelo-Apollo,310,information technology & services,http://www.onwelo.com,http://www.linkedin.com/company/onwelo,Warszawa,woj. mazowieckie,,7375,,,
automotiveMastermind Inc.,automotiveMastermind Inc.-Apollo,340,information technology & services,http://www.automotivemastermind.com,http://www.linkedin.com/company/automotivemastermind-llc,New York,New York,68006000,7375,,,
GUARANI,GUARANI-Apollo,290,information technology & services,http://www.guarani.fr,http://www.linkedin.com/company/guarani-fr,Lyon,Auvergne-Rhone-Alpes,31000000,7375,,,
BPM LLP,BPM LLP-Apollo,1900,management consulting,http://www.bpm.com,http://www.linkedin.com/company/bpmllp,San Francisco,California,242000000,8721,,,
TPx,TPx-Apollo,1500,information technology & services,http://www.tpx.com,http://www.linkedin.com/company/tpx-communications,Austin,Texas,683900000,7375,,,
Kenect,Kenect-Apollo,240,information technology & services,http://www.kenect.com,http://www.linkedin.com/company/kenect,Pleasant Grove,Utah,40000000,7389,,,
Expereo,Expereo-Apollo,480,information technology & services,http://www.expereo.com,http://www.linkedin.com/company/expereo,Amsterdam,Noord-Holland,450000000,7375,,,
"Aezion, Inc","Aezion, Inc-Apollo",210,information technology & services,http://www.aezion.com,http://www.linkedin.com/company/aezion,Frisco,Texas,26000000,7371,,,
Aceolution,Aceolution-Apollo,320,information technology & services,http://www.aceolution.com,http://www.linkedin.com/company/aceolution,Franklin Township,New Jersey,18900000,7375,,,
Ampstek,Ampstek-Apollo,300,information technology & services,http://www.ampstek.com,http://www.linkedin.com/company/ampstek,Princeton,New Jersey,47400000,7371,,,
Aubay Spain,Aubay Spain-Apollo,470,information technology & services,http://www.aubay.es,http://www.linkedin.com/company/aubay-spain,Madrid,Community of Madrid,563000000,7375,,,
Exavalu,Exavalu-Apollo,390,information technology & services,http://www.exavalu.com,http://www.linkedin.com/company/exavalu-inc,Newport Beach,California,89900000,8742,,,
Owner.com,Owner.com-Apollo,540,information technology & services,http://www.owner.com,http://www.linkedin.com/company/owner-com,San Francisco,California,80560000,7375,,,
Catalyte,Catalyte-Apollo,270,information technology & services,http://www.catalyte.io,http://www.linkedin.com/company/catalyteio,Baltimore,Maryland,18804000,7375,,,
Zühlke Group,Zühlke Group-Apollo,1600,information technology & services,http://www.zuehlke.com,http://www.linkedin.com/company/zuehlkegroup,Schlieren,Zurich,257684000,7375,,,
SIXT Research & Development India,SIXT Research & Development India-Apollo,290,information technology & services,http://www.sixtindia.co.in,http://www.linkedin.com/company/sixt-research-development-india,Bengaluru,Karnataka,46100000,7375,,,
HENNGE,HENNGE-Apollo,320,information technology & services,http://www.hennge.com,http://www.linkedin.com/company/hennge,Shibuya City,Tokyo,73879000,7375,,,
DVI Solutions Asia,DVI Solutions Asia-Apollo,220,information technology & services,http://www.dviasia.com,http://www.linkedin.com/company/dvi-solutions-asia,Singapore,,5500000,3571,,,
ITJ,ITJ-Apollo,270,information technology & services,http://www.itj.com,http://www.linkedin.com/company/itj,San Marcos,California,42400000,7375,,,
"Leapfrog Technology, Inc.","Leapfrog Technology, Inc.-Apollo",470,information technology & services,http://www.lftechnology.com,http://www.linkedin.com/company/lftechnology,Seattle,Washington,86600000,7375,,,
Acronis,Acronis-Apollo,2000,information technology & services,http://www.acronis.com,http://www.linkedin.com/company/acronis,Schaffhausen,Schaffhausen,334000000,7375,,,
"Sira Consulting, an Inc 5000 company","Sira Consulting, an Inc 5000 company-Apollo",340,information technology & services,http://www.siraconsultinginc.com,http://www.linkedin.com/company/siraconsulting,Houston,Texas,12700000,7375,,,
ProcDNA,ProcDNA-Apollo,230,management consulting,http://www.procdna.com,http://www.linkedin.com/company/procdna,South San Francisco,California,85800000,8731,,,
G10X,G10X-Apollo,630,information technology & services,http://www.g10x.com,http://www.linkedin.com/company/g10xtech,Irvine,California,,7375,,,
Horizontal Digital,Horizontal Digital-Apollo,520,information technology & services,http://www.horizontaldigital.com,http://www.linkedin.com/company/horizontal-digital,Saint Louis Park,Minnesota,,7375,,,
Cresta,Cresta-Apollo,560,information technology & services,http://www.cresta.com,http://www.linkedin.com/company/cresta-inc,Sunnyvale,California,52000000,7375,,,
Tekgeminus,Tekgeminus-Apollo,230,information technology & services,http://www.tekgeminus.com,http://www.linkedin.com/company/tekgeminus,Pune,Maharashtra,,7375,,,
Sky Solutions,Sky Solutions-Apollo,220,information technology & services,http://www.skysolutions.com,http://www.linkedin.com/company/sky-solutions-us,Vienna,Virginia,29700000,7375,,,
Dialpad,Dialpad-Apollo,1300,information technology & services,http://www.dialpad.com,http://www.linkedin.com/company/dialpad,San Ramon,California,300000000,7375,,,
Infopro Digital,Infopro Digital-Apollo,1700,information technology & services,http://www.infopro-digital.com,http://www.linkedin.com/company/infopro-digital,Gentilly,Ile-de-France,698000000,7380,,,
"MaxVal Group, Inc.","MaxVal Group, Inc.-Apollo",740,information technology & services,http://www.maxval.com,http://www.linkedin.com/company/maxval-group-inc.,Los Altos,California,47400000,7375,,,
Amaze Systems,Amaze Systems-Apollo,650,information technology & services,http://www.amaze-systems.com,http://www.linkedin.com/company/amaze-systems,Dallas,Texas,18300000,7375,,,
SQUIRE,SQUIRE-Apollo,220,information technology & services,http://www.getsquire.com,http://www.linkedin.com/company/squ%c4%abr-technologies,New York,New York,102500000,7372,,,
GuruSchools LLC,GuruSchools LLC-Apollo,350,information technology & services,http://www.guruschools.com,http://www.linkedin.com/company/guruschools,Princeton,New Jersey,,8299,,,
Trustpilot,Trustpilot-Apollo,990,information technology & services,http://www.trustpilot.com,http://www.linkedin.com/company/trustpilot,Kobenhavn,,210751000,7375,,,
Atlantic Technologies,Atlantic Technologies-Apollo,310,information technology & services,http://www.atlantic-technologies.com,http://www.linkedin.com/company/atlantictechnologies,Milano,Lombardia,31000000,7375,,,
Aubay Portugal,Aubay Portugal-Apollo,1200,information technology & services,http://www.aubay.pt,http://www.linkedin.com/company/aubay-portugal,Lisbon,Lisbon,,7371,,,
TTEC Digital,TTEC Digital-Apollo,1800,information technology & services,http://www.ttecdigital.com,http://www.linkedin.com/company/ttec-digital,Austin,Texas,459018000,7375,,,
Solu,Solu-Apollo,230,management consulting,http://www.wearesolu.com,http://www.linkedin.com/company/wearesolu,Buenos Aires,Autonomous City of Buenos Aires,,7375,,,
ENT - Ericsson Nikola Tesla,ENT - Ericsson Nikola Tesla-Apollo,900,information technology & services,http://www.ericssonnikolatesla.com,http://www.linkedin.com/company/ericssonnikolatesla,Zagreb,City of Zagreb,260000000,3661,,,
株式会社LegalOn Technologies,株式会社LegalOn Technologies-Apollo,600,information technology & services,http://www.legalontech.jp,http://www.linkedin.com/company/legalontech,Shibuya,Tokyo,66000000,7389,,,
Motivus,Motivus-Apollo,730,information technology & services,http://www.motivus.com,http://www.linkedin.com/company/motivustech,Irving,Texas,,7375,,,
Atomic North,Atomic North-Apollo,220,information technology & services,http://www.atomicnorth.com,http://www.linkedin.com/company/officialatomicnorth,Noida,Uttar Pradesh,27089000,7371,,,
Yochana,Yochana-Apollo,380,information technology & services,http://www.yochana.com,http://www.linkedin.com/company/yochana,Farmington Hills,Michigan,85000000,7361,,,
Easi,Easi-Apollo,600,information technology & services,http://www.easi.net,http://www.linkedin.com/company/easi,Nivelles,Walloon Region,106000000,,,,
Kiteworks,Kiteworks-Apollo,350,information technology & services,http://www.kiteworks.com,http://www.linkedin.com/company/kiteworkscgcp,San Mateo,California,130000000,7375,,,
Blue Acorn iCi,Blue Acorn iCi-Apollo,310,information technology & services,http://www.blueacornici.com,http://www.linkedin.com/company/blue-acorn-ici,Charleston,South Carolina,70000000,7375,,,
KCS iT,KCS iT-Apollo,370,information technology & services,http://www.kcsit.pt,http://www.linkedin.com/company/kcsit,Lisbon,Lisbon,23000000,7371,,,
Ibotta,Ibotta-Apollo,890,information technology & services,http://www.ibotta.com,http://www.linkedin.com/company/ibotta-inc-,Denver,Colorado,342389000,7372,,,
Accellor,Accellor-Apollo,280,information technology & services,http://www.accellor.com,http://www.linkedin.com/company/accellor,Fremont,California,15000000,7375,,,
Talkdesk,Talkdesk-Apollo,1300,information technology & services,http://www.talkdesk.com,http://www.linkedin.com/company/talkdesk,San Francisco,California,420100000,7375,,,
Millennium Systems International,Millennium Systems International-Apollo,240,information technology & services,http://www.meevo.com,http://www.linkedin.com/company/millennium-systems-international,Parsippany-Troy Hills,New Jersey,50000000,7375,,,
E-Solutions,E-Solutions-Apollo,1900,information technology & services,http://www.e-solutionsinc.com,http://www.linkedin.com/company/e-solutions-inc,San Jose,California,510500000,7375,,,
Zaelab,Zaelab-Apollo,390,management consulting,http://www.zaelab.com,http://www.linkedin.com/company/zaelab,Westport,Connecticut,26300000,7375,,,
Mindex,Mindex-Apollo,260,information technology & services,http://www.mindex.com,http://www.linkedin.com/company/mindex,Rochester,New York,12000000,7375,,,
DynPro Inc.,DynPro Inc.-Apollo,610,information technology & services,http://www.dynpro.com,http://www.linkedin.com/company/dynpro-inc,Raleigh,North Carolina,100000000,7379,,,
"Azuga, Inc.","Azuga, Inc.-Apollo",1100,information technology & services,http://www.azuga.com,http://www.linkedin.com/company/azuga-inc-,San Jose,California,170000000,7359,,,
PartsSource Inc.,PartsSource Inc.-Apollo,570,information technology & services,http://www.partssource.com,http://www.linkedin.com/company/partssource-inc,Aurora,Ohio,239700000,5045,,,
"Y&L Consulting, Inc.","Y&L Consulting, Inc.-Apollo",210,information technology & services,http://www.ylconsulting.com,http://www.linkedin.com/company/y&l-consulting,San Antonio,Texas,10000000,7371,,,
Canonical,Canonical-Apollo,1800,information technology & services,http://www.canonical.com,http://www.linkedin.com/company/canonical,London,England,292000000,3571,,,
V2Solutions,V2Solutions-Apollo,810,information technology & services,http://www.v2solutions.com,http://www.linkedin.com/company/v2solutions,Santa Clara,California,214800000,7375,,,
Scale Computing,Scale Computing-Apollo,290,information technology & services,http://www.scalecomputing.com,http://www.linkedin.com/company/scalecomputing,Austin,Texas,52627000,3571,,,
emagine,emagine-Apollo,2000,information technology & services,http://www.emagine.org,http://www.linkedin.com/company/emagine,Copenhagen,Capital Region of Denmark,,7375,,,
Info-Tech Research Group,Info-Tech Research Group-Apollo,1800,information technology & services,http://www.infotech.com,http://www.linkedin.com/company/info-tech-research-group,London,California,243000000,7375,,,
Solutis Tecnologias,Solutis Tecnologias-Apollo,1200,information technology & services,http://www.solutis.com.br,http://www.linkedin.com/company/solutis-tecnologias,Sao Paulo,State of Sao Paulo,,7375,,,
Synpulse,Synpulse-Apollo,1200,management consulting,http://www.synpulse.com,http://www.linkedin.com/company/synpulsemc,Zurich,Zurich,374500000,8742,,,
Unbabel,Unbabel-Apollo,710,information technology & services,http://www.unbabel.com,http://www.linkedin.com/company/unbabel,San Francisco,California,401000000,7375,,,
D-ploy GmbH,D-ploy GmbH-Apollo,550,information technology & services,http://www.d-ploy.ch,http://www.linkedin.com/company/we-d-ploy-you-n-joy,Kaiseraugst,Aargau,,7375,,,
HHAeXchange,HHAeXchange-Apollo,1200,information technology & services,http://www.hhaexchange.com,http://www.linkedin.com/company/hhaexchange,New York,New York,250000000,7375,,,
Tudip Technologies,Tudip Technologies-Apollo,600,information technology & services,http://www.tudip.com,http://www.linkedin.com/company/tudip-technologies-pvt-ltd,Pune,Maharashtra,11000000,7371,,,
NoA Ignite,NoA Ignite-Apollo,450,information technology & services,http://www.noaignite.com,http://www.linkedin.com/company/noa-ignite,Stockholm,Stockholm County,5708000,7380,,,
Forsys Inc,Forsys Inc-Apollo,550,management consulting,http://www.forsysinc.com,http://www.linkedin.com/company/forsysinc,Milpitas,California,8400000,7375,,,
Fides,Fides-Apollo,370,information technology & services,http://www.fidesgroup.com,http://www.linkedin.com/company/fides-consulting-s-r-l,Naples,Campania,,,,,
GeoComply,GeoComply-Apollo,590,information technology & services,http://www.geocomply.com,http://www.linkedin.com/company/geocomply,Vancouver,British Columbia,56000000,7375,,,
Integrity360,Integrity360-Apollo,450,information technology & services,http://www.integrity360.com,http://www.linkedin.com/company/integrity360,,,174000000,7374,,,
CEI,CEI-Apollo,1800,information technology & services,http://www.ceiamerica.com,http://www.linkedin.com/company/cei-ceiamerica-com,Pittsburgh,Pennsylvania,111000000,7375,,,
Jump,Jump-Apollo,340,information technology & services,http://www.jump.tec.br,http://www.linkedin.com/company/jump-label,Sao Paulo,State of Sao Paulo,,7375,,,
Sitetracker,Sitetracker-Apollo,420,information technology & services,http://www.sitetracker.com,http://www.linkedin.com/company/sitetracker,Montclair,New Jersey,75000000,3531,,,
CloudKaptan,CloudKaptan-Apollo,310,information technology & services,http://www.cloudkaptan.com,http://www.linkedin.com/company/cloudkaptan,Rajarhat,West Bengal,,7375,,,
Centelon Solutions,Centelon Solutions-Apollo,340,information technology & services,http://www.centelonsolutions.com,http://www.linkedin.com/company/centelonsolutions,Melbourne,Victoria,61400000,7375,,,
CirrusLabs,CirrusLabs-Apollo,300,information technology & services,http://www.cirruslabs.io,http://www.linkedin.com/company/cirruslabs,Alpharetta,Georgia,50000000,7375,,,
Info Services,Info Services-Apollo,410,information technology & services,http://www.infoservices.com,http://www.linkedin.com/company/infoservicesllc,Livonia,Michigan,30341000,7375,,,
Quantum World Technologies Inc.,Quantum World Technologies Inc.-Apollo,650,information technology & services,http://www.quantumworldit.com,http://www.linkedin.com/company/quantumworldtech,Los Alamitos,California,51300000,7375,,,
NeuraFlash,NeuraFlash-Apollo,500,information technology & services,http://www.neuraflash.com,http://www.linkedin.com/company/neuraflash,Burlington,Massachusetts,81100000,7375,,,
Doximity,Doximity-Apollo,830,information technology & services,http://www.doximity.com,http://www.linkedin.com/company/doximity,San Francisco,California,570399000,7375,,,
Multiverse,Multiverse-Apollo,1300,information technology & services,http://www.multiverse.io,http://www.linkedin.com/company/joinmultiverse,,England,103000000,8299,,,
Spyrosoft,Spyrosoft-Apollo,1700,information technology & services,http://www.spyro-soft.com,http://www.linkedin.com/company/spyrosoft,Wroclaw,Wojewodztwo dolnoslaskie,113561000,7375,,,
Grupo TECDATA Engineering,Grupo TECDATA Engineering-Apollo,320,information technology & services,http://www.tecdata.es,http://www.linkedin.com/company/grupo-tecdata-engineering,Madrid,Community of Madrid,,7375,,,
Front,Front-Apollo,530,information technology & services,http://www.front.com,http://www.linkedin.com/company/fronthq,San Francisco,California,100000000,7375,,,
SMS-Magic,SMS-Magic-Apollo,300,information technology & services,http://www.sms-magic.com,http://www.linkedin.com/company/screen-magic-media,Henderson,Nevada,32700000,7375,,,
Maruti Techlabs,Maruti Techlabs-Apollo,260,information technology & services,http://www.marutitech.com,http://www.linkedin.com/company/maruti-techlabs-pvt-ltd,Ahmedabad,Gujarat,236000,7375,,,
Teqfocus,Teqfocus-Apollo,210,information technology & services,http://www.teqfocus.com,http://www.linkedin.com/company/teqfocusconsultingllc,Sacramento,California,5000000,7375,,,
atmira,atmira-Apollo,810,information technology & services,http://www.atmira.com,http://www.linkedin.com/company/atmira,Madrid,Community of Madrid,52000000,7375,,,
Aquiva Labs,Aquiva Labs-Apollo,220,information technology & services,http://www.aquivalabs.com,http://www.linkedin.com/company/aquiva-labs,Orlando,Florida,32100000,7375,,,
EverCommerce,EverCommerce-Apollo,2000,information technology & services,http://www.evercommerce.com,http://www.linkedin.com/company/evercommerce,Denver,Colorado,612753000,7375,,,
Riveron,Riveron-Apollo,1400,management consulting,http://www.riveron.com,http://www.linkedin.com/company/riveron,Dallas,Texas,170000000,8742,,,
NATEEVO,NATEEVO-Apollo,430,management consulting,http://www.nateevo.com,http://www.linkedin.com/company/nateevo,Alcobendas,Community of Madrid,16700000,7375,,,
Tekgence Inc,Tekgence Inc-Apollo,390,information technology & services,http://www.tekgence.com,http://www.linkedin.com/company/tekgence-inc,Irving,Texas,8700000,7361,,,
Buildots,Buildots-Apollo,240,information technology & services,http://www.buildots.com,http://www.linkedin.com/company/buildots,Tel Aviv-Yafo,Tel Aviv District,43700000,1542,,,
Lorven Technologies Inc.,Lorven Technologies Inc.-Apollo,380,information technology & services,http://www.lorventech.com,http://www.linkedin.com/company/lorventech,Plainsboro Township,New Jersey,9009000,7375,,,
Radiant Digital,Radiant Digital-Apollo,260,information technology & services,http://www.radiant.digital,http://www.linkedin.com/company/radiant-digital-solutions,Vienna,Virginia,10200000,7375,,,
Cox Automotive Europe,Cox Automotive Europe-Apollo,1200,information technology & services,http://www.coxautoinc.eu,http://www.linkedin.com/company/coxautomotiveeurope,Leeds,England,,7359,,,
Jobvite,Jobvite-Apollo,300,information technology & services,http://www.jobvite.com,http://www.linkedin.com/company/jobvite,Denver,Colorado,92300000,7375,,,
OSI Digital,OSI Digital-Apollo,1400,information technology & services,http://www.osidigital.com,http://www.linkedin.com/company/osidigital,Calabasas,California,265700000,7375,,,
MuleSoft,MuleSoft-Apollo,1500,information technology & services,http://www.mulesoft.com,http://www.linkedin.com/company/mulesoft,San Francisco,California,452700000,7375,,,
Novare,Novare-Apollo,850,information technology & services,http://www.novare.com.ph,http://www.linkedin.com/company/mdinovare,Taguig,Metro Manila,,7375,,,
LINK Mobility,LINK Mobility-Apollo,670,telecommunications,http://www.linkmobility.com,http://www.linkedin.com/company/linkmobility-group,Oslo,Oslo,703105000,7375,,,
Zoopla,Zoopla-Apollo,410,information technology & services,http://www.zoopla.co.uk,http://www.linkedin.com/company/zoopla,,England,117232000,6531,,,
Ksolves India Limited,Ksolves India Limited-Apollo,510,information technology & services,http://www.ksolves.com,http://www.linkedin.com/company/ksolves,Sheridan,Wyoming,16087000,7375,,,
Plusoft,Plusoft-Apollo,360,information technology & services,http://www.plusoft.com,http://www.linkedin.com/company/plusoft,Sao Paulo,State of Sao Paulo,,7375,,,
"Tangent Solutions, Inc.","Tangent Solutions, Inc.-Apollo",220,information technology & services,http://www.tangentsolutionsinc.com,http://www.linkedin.com/company/tangentsolutionsinc,Pasig,Metro Manila,,7375,,,
Edenred Digital Center Bucharest,Edenred Digital Center Bucharest-Apollo,300,information technology & services,http://www.edenred-digitalcenter.com,http://www.linkedin.com/company/edenred-digital-center,Bucharest,Bucharest,,7375,,,
VLink Inc,VLink Inc-Apollo,580,information technology & services,http://www.vlinkinfo.com,http://www.linkedin.com/company/vlink-inc,South Windsor,Connecticut,72315000,7371,,,
Level Access,Level Access-Apollo,530,information technology & services,http://www.levelaccess.com,http://www.linkedin.com/company/level-access,Stafford,Virginia,100000000,7375,,,
conet,conet-Apollo,2000,information technology & services,http://www.conet.de,http://www.linkedin.com/company/conet-group,Bonn,North Rhine-Westphalia,330000000,7375,,,
Quadrafort Technologies,Quadrafort Technologies-Apollo,250,information technology & services,http://www.quadrafort.com,http://www.linkedin.com/company/quadrafort-technologies,Noida,Uttar Pradesh,,7375,,,
Smartsourcing,Smartsourcing-Apollo,490,outsourcing/offshoring,http://www.smartsourcing.co,http://www.linkedin.com/company/smartsourcingco,Melbourne,Victoria,55500000,7375,,,
Natuvion,Natuvion-Apollo,480,information technology & services,http://www.natuvion.com,http://www.linkedin.com/company/natuvion,Walldorf,Baden-Wuerttemberg,39575000,7375,,,
VySystems,VySystems-Apollo,570,information technology & services,http://www.vysystems.com,http://www.linkedin.com/company/vysystems,Santa Clara,California,98100000,7375,,,
Aventra Group,Aventra Group-Apollo,320,information technology & services,http://www.aventragroup.com,http://www.linkedin.com/company/aventra-group,Kuala Lumpur,Federal Territory of Kuala Lumpur,,7375,,,
FEXLE Services Private Limited,FEXLE Services Private Limited-Apollo,220,information technology & services,http://www.fexle.com,http://www.linkedin.com/company/fexle-services-private-limited,Jaipur,Rajasthan,3200000,7375,,,
Weave,Weave-Apollo,860,information technology & services,http://www.getweave.com,http://www.linkedin.com/company/getweave,Lehi,Utah,239024000,8090,,,
Ascend Technologies,Ascend Technologies-Apollo,320,information technology & services,http://www.teamascend.com,http://www.linkedin.com/company/teamascend,Chicago,Illinois,35000000,7371,,,
abra,abra-Apollo,890,information technology & services,http://www.abra-it.com,http://www.linkedin.com/company/abra-it,Ra'anana,,121757000,7375,,,
T4S Advance,T4S Advance-Apollo,240,information technology & services,http://www.t4sadvance.com,http://www.linkedin.com/company/t4s-advance-solutions,Madrid,Comunidad de Madrid,,,,,
Digile,Digile-Apollo,310,information technology & services,http://www.digile.com,http://www.linkedin.com/company/digiletechnologies,Singapore,,10000000,7375,,,
Filevine,Filevine-Apollo,600,information technology & services,http://www.filevine.com,http://www.linkedin.com/company/filevine,Salt Lake City,Utah,105000000,7375,,,
enGen,enGen-Apollo,1200,information technology & services,http://www.goengen.com,http://www.linkedin.com/company/engenhealthtech,Pittsburgh,Pennsylvania,1200000000,7375,,,
Tinexta Infocert,Tinexta Infocert-Apollo,400,information technology & services,http://www.infocert.it,http://www.linkedin.com/company/tinexta-infocert,Rome,Lazio,191000000,7375,,,
Futran Solutions,Futran Solutions-Apollo,300,information technology & services,http://www.futransolutions.com,http://www.linkedin.com/company/futransolutionsinc,Edison,New Jersey,168900000,7375,,,
paradigm.brussels,paradigm.brussels-Apollo,520,information technology & services,http://www.be.brussels,http://www.linkedin.com/company/paradigm-bru,Saint-Josse-ten-Noode,Brussels,,9199,,,
Aceve,Aceve-Apollo,250,information technology & services,http://www.aceve.com,http://www.linkedin.com/company/aceve,Stockholm,Stockholm County,117000000,7375,,,
AND Digital,AND Digital-Apollo,1100,information technology & services,http://www.and.digital,http://www.linkedin.com/company/and_digital,Maidenhead,England,169000000,7371,,,
